"n","seed","K","ok","n_starts_ok","LL","n_par","AIC","BIC","min_class_share","hessian_ok","secs","usable","verdict","problems"
100,17,3,TRUE,8,-368.24267096408,14,764.48534192816,831.7188686147,0.224659989414668,TRUE,14.7129008769989,TRUE,"ok",""
100,18,1,TRUE,1,-437.862089171184,4,883.724178342369,902.933757395666,1,TRUE,0.847695112228394,TRUE,"ok",""
100,18,2,TRUE,8,-405.205781556256,9,828.411563112511,871.63311598243,0.324707278860125,TRUE,11.8195490837097,TRUE,"ok",""
100,18,3,TRUE,8,-383.291992674204,14,794.583985348408,861.817512034948,0.25689192440402,TRUE,34.750746011734,TRUE,"ok",""
100,19,1,TRUE,1,-404.665472556916,4,817.330945113833,836.54052416713,1,TRUE,0.821398019790649,TRUE,"ok",""
100,19,2,TRUE,8,-368.100483647782,9,754.200967295563,797.422520165482,0.445306221852943,TRUE,10.4698989391327,TRUE,"ok",""
100,19,3,TRUE,8,-355.928926351639,14,739.857852703278,807.091379389818,0.265258456617486,TRUE,13.4505059719086,FALSE,"WRONG SIGN","wrong_sign"
100,20,1,TRUE,1,-411.333509209354,4,830.667018418708,849.876597472005,1,TRUE,0.415682077407837,TRUE,"ok",""
100,20,2,TRUE,8,-392.303078678449,9,802.606157356898,845.827710226817,0.418121337582151,TRUE,9.65921020507812,TRUE,"ok",""
100,20,3,TRUE,8,-369.526780113336,14,767.053560226672,834.287086913213,0.232755700944656,TRUE,16.5349540710449,TRUE,"ok",""
75,1,1,TRUE,1,-301.73946922284,4,611.478938445679,629.537789209169,1,TRUE,0.422667980194092,TRUE,"ok",""
75,1,2,TRUE,8,-275.894782254285,9,569.789564508569,610.421978726422,0.282163770568673,TRUE,6.45598816871643,TRUE,"ok",""
75,1,3,TRUE,8,-250.785261937793,14,529.570523875587,592.776501547802,0.169582019714595,TRUE,12.9219980239868,FALSE,"WRONG SIGN","wrong_sign"
75,2,1,TRUE,1,-335.569050109708,4,679.138100219417,697.196950982907,1,TRUE,0.33440089225769,TRUE,"ok",""
75,2,2,TRUE,8,-308.553374903819,9,635.106749807637,675.73916402549,0.406805287554593,TRUE,5.4742739200592,TRUE,"ok",""
75,2,3,TRUE,8,-291.038981048755,14,610.077962097509,673.283939769724,0.178834092438999,TRUE,9.556715965271,TRUE,"ok",""
75,3,1,TRUE,1,-323.011656067607,4,654.023312135214,672.082162898704,1,TRUE,0.315454006195068,TRUE,"ok",""
75,3,2,TRUE,8,-299.318064649826,9,616.636129299653,657.268543517506,0.317488712288153,TRUE,6.07975697517395,TRUE,"ok",""
75,3,3,TRUE,8,-286.90972482015,14,601.819449640299,665.025427312515,0.158205764367507,TRUE,10.919725894928,TRUE,"ok",""
75,4,1,TRUE,1,-303.305198900352,4,614.610397800703,632.669248564193,1,TRUE,0.567655086517334,TRUE,"ok",""
75,4,2,TRUE,8,-284.82632702694,9,587.652654053881,628.285068271733,0.262064772398532,TRUE,5.62035489082336,TRUE,"ok",""
75,4,3,TRUE,8,-274.720229619036,14,577.440459238072,640.646436910288,0.199311876596793,TRUE,10.4064228534698,TRUE,"ok",""
75,5,1,TRUE,1,-293.320791402764,4,594.641582805529,612.700433569019,1,TRUE,0.222453832626343,TRUE,"ok",""
75,5,2,TRUE,8,-262.962208762884,9,543.924417525767,584.55683174362,0.471901593302963,TRUE,8.27799892425537,TRUE,"ok",""
75,5,3,TRUE,8,-249.01169550114,14,526.023391002279,589.229368674495,0.271321815583656,FALSE,11.0866889953613,FALSE,"NO COVARIANCE","no_covariance"
75,6,1,TRUE,1,-320.996008977628,4,649.992017955256,668.050868718746,1,TRUE,0.525161981582642,TRUE,"ok",""
75,6,2,TRUE,8,-283.285814563288,9,584.571629126577,625.20404334443,0.461811046129496,TRUE,8.09412288665771,TRUE,"ok",""
75,6,3,TRUE,8,-258.71285580075,14,545.425711601501,608.631689273716,0.271869647642048,TRUE,12.5332858562469,TRUE,"ok",""
